userName,date,goodsNo,userSexMen,userSexWomen,userHeight,userWeight,goodsSize,reviewContent,reviewImg,reviewStyle,size,bright,color,thickness,weightness,touch,helpNo,styleLikeNo
집행부차장,2022.02.12,1749104,1,0, 172cm, 77kg,31,"['살랑살랑한 게 바지 재질도 참 좋구요, 와이드랑 슈퍼와이드 중 고민했었는데 캐주얼하게 입고 싶으신 분들은 슈퍼와이드로 가시면 딱 좋을 것같아요! 너무 넓지도 않고 딱 이쁘게 떨어져요!']",https://image.msscdn.net/data/estimate/1749104_0/gallery_62075f86edc37.jpg.view,1,2,2,2,2,0,0,0,0
고객전용,2022.02.08,1749104,1,0, 170cm, 70kg,31,"['요즘 매일 입는 슬랙스', <br/>, '역시 무탠다드 가성비 너무 좋음']",https://image.msscdn.net/data/estimate/1749104_0/gallery_6201816ad8bf4.jpg.view,1,2,2,2,2,0,0,0,0
골드_a95e6ffc9305,2022.02.05,1749104,1,0, 173cm, 70kg,30,['좋아요 이브랜드 상품 다음에 또 사서 입겠습니다 감사합니다'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61fe83a65f883.jpg.view,1,2,2,2,2,0,0,0,0
s_서승현,2022.02.01,1749104,1,0, 184cm, 83kg,31,['편하고 안입은기분이에요 그리고 단점은 거의없는것같고 가격착하고 이가격에서 슬랙스찾으시면 무조건 무탠다드입니다'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61f873b566aad.jpg.view,1,2,2,2,2,0,0,0,0
hoduchieu_,2022.01.19,1749104,1,0, 182cm, 68kg,31,['얇은 편인데 핏이 넘 마음에 들어요. 블랙도 구매했습니다 .'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61e824ebb9142.jpg.view,1,2,2,2,2,0,0,0,0
johnn1,2022.01.08,1749104,1,0, 183cm, 80kg,38,['진짜 제가 이거 입고 사람들이 어디서 샀냐고 이질문을 엄청 많이 받았어요 진짜 강추에요'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61d933cedceb0.jpg.view,1,1,3,1,2,0,0,0,0
여의도할머니,2022.01.05,1749104,1,0, 179cm, 76kg,32,['제 원픽입니다 찰랑거리는 느낌이 좋아요 말 그대로 슈퍼와이드입니다.'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61d4d98fb6db5.jpg.view,1,2,2,2,2,0,0,0,0
신사동노랭이,2022.01.03,1749104,1,0, 182cm, 85kg,32,['정말 마음에 드는데 사이즈가 더 커도 좋을 것 같아요.'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61d30edc8dc5a.jpg.view,1,2,2,2,2,0,0,0,0
제현빈,2022.01.01,1749104,1,0, 176cm, 68kg,32,"['인생 와이드 슬랙스 . 기존은 너무 와이드하지 않아서 그냥 그랬는데 이건 딱 원하던 핏,,']",https://image.msscdn.net/data/estimate/1749104_0/gallery_61cf1b5d9ef48.jpg.view,1,2,2,2,2,0,0,0,0
권진권진,2021.12.30,1749104,1,0, 184cm, 105kg,34,['역시 무신사 템들이 기본템으로 너무 훌륭한 것 같습니다. 제가 딱 원하던 핏이에요'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61cd837f38de5.jpg.view,1,2,2,2,2,0,0,0,0
뉴비_7a02f882,2021.12.29,1749104,1,0, 179cm, 75kg,32,['얇아서 지금 하나만 입으면 살짝 추운감이 있습니다. 오버핏 좋아하시면 가성비로 최고인것 같습니다.'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61cc40e34026f.jpg.view,1,1,2,2,3,0,0,0,0
냥냥냥느야아앙,2021.12.20,1749104,1,0, 175cm, 85kg,34,['예쁘고 통도 적당히 넓고 그냥 편해서 너무 좋습니다'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61bfe93f124a6.jpg.view,1,2,2,2,2,0,0,0,0
Aiui,2021.12.15,1749104,1,0, 179cm, 76kg,31,['코트 안에 좀 크게 빼려고 샀는데 예쁜 것 같아요 잘 입겠슴다'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61b990ffae9cb.jpg.view,1,2,2,2,2,0,0,0,0
nnnmmnn,2021.12.14,1749104,1,0, 170cm, 51kg,26,['너무너무 맘에 들어서 색깔별로 전부 쟁여놓고 싶습니다.. 무탠다드 최고! 기장은 살짝 길고 허리는 딱 맞아요'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61b832e3166a3.jpg.view,1,1,2,1,2,0,0,0,0
실버_49da30f7f1a6,2021.12.14,1749104,1,0, 183cm, 85kg,33,['마음에 드네요 헐렁헐렁하이 좋습니다 자주 손이 갈거 같아요'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61b7bcc25d037.jpg.view,1,2,2,2,3,0,0,0,0
Jkparkji,2021.12.10,1749104,1,0, 183cm, 78kg,32,['슈퍼 와이드는 처음이여서 기대했는데  핏이 너무 이뻐서 만족합니다'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61b22a2e10369.jpg.view,1,2,2,2,2,0,0,0,0
딸기맛낙타,2021.12.09,1749104,1,0, 182cm, 72kg,32,['일단 슈퍼와이드라서 통이 엄청~ 크구요!! 턱 잡힌게 이쁘긴해요. 그치만 뭔가 2프로..부족한 느낌'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61b17e680b7f1.jpg.view,1,1,2,2,3,0,0,0,0
뉴비_7a63661e,2021.12.08,1749104,1,0, 180cm, 76kg,32,['예뻐서 색깔별로 다샀습니다. 실루엣 흘러내리듯 예쁘게 떨어지고 단정한 슬렉스 느낌주면서 와이드함까지 다 잡은 미니멀한 팬츠 찾으시면 강추입니다'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61afffe07bb95.jpg.view,1,2,2,1,2,0,0,0,0
셐큐재츄,2021.12.08,1749104,1,0, 181cm, 66kg,26,"['너무 맘에들어여', <br/>, '허리 작은거 삿는데도 기장은 충분히 길어서 좋앗구 와이드한게 딱이네야']",https://image.msscdn.net/data/estimate/1749104_0/gallery_61afac20ea34e.jpg.view,1,2,2,2,2,0,0,0,0
신길공,2021.12.06,1749104,1,0, 178cm, 77kg,29,['확실히 통이 커서 입기가 편해요 색깔별로 구매하고 싶어요'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61adb57eb411a.jpg.view,1,2,2,2,2,0,0,0,0
헤꽁이,2021.12.06,1749104,1,0, 178cm, 75kg,31,['역시 매겨울 구매하는거지만 퀄리티 핏 너무 만족스러운 제품입니다!'],https://image.msscdn.net/data/estimate/1749104_0/gallery_61acfc13d7dfd.jpg.view,1,2,2,2,2,0,0,0,0
