userName,date,goodsNo,userSexMen,userSexWomen,userHeight,userWeight,goodsSize,reviewContent,reviewImg,reviewStyle,size,bright,color,thickness,weightness,touch,helpNo,styleLikeNo
켄지군,2020.12.11,1232432,1,0, 183cm, 72kg,블랙/L,['원단이 기모지만 그렇게 두껍지 않아서 편하게 입을수 있어서 좋아요.'],https://image.msscdn.net/data/estimate/1232432_0/gallery_5fd34fec481a2.jpg.view,1,2,2,2,2,0,0,0,0
켄지군,2020.12.11,1232432,0,1, 160cm, 48kg,네이비/S,['그레이버 디자인이 마음에 들어서 여러게 샀는데 후드티도 예쁘네요.'],https://image.msscdn.net/data/estimate/1232432_0/gallery_5fd30eec9a32f.jpg.view,1,2,2,2,2,0,0,0,0
재요닌,2021.11.19,1232432,1,0, 173cm, 73kg,그레이/L,"['완전 회색은 아니고 어느정도 블랙이 섞여 있음..', <br/>, '정전기 잘날듯', <br/>, '사이즈는 팔이 좀 길긴하지만 대체적으로 만족함']",,0,2,2,2,2,0,0,0,0
뉴비_34cbb800,2021.02.09,1232432,0,1, 160cm, 50kg,그레이/M,['짱짱 내 스타일~~!! 넘나 귀엽고 핏두 좋아요 꺄갹 내일도 입고 가야징~'],,0,2,2,2,2,0,0,0,0
EUN_BONGS,2020.12.09,1232432,0,1, 158cm, 55kg,블랙/M,['하트 무늬도 이쁘고 색도 잘 나왔네요 잘 입겠습니다'],,0,2,1,1,1,0,0,0,0
김선우장바구니,2020.11.11,1232432,0,1, 163cm, 60kg,그레이/L,['은근 엄청 따뜻하고 안에 기모가 진짜 부드러움 클립이랑 집게 포인트 유니크하고 예쁨 모자는 핏이 이상한데 옷은 예쁨'],,0,2,1,1,2,0,0,0,0
바람계곡의레논,2021.09.19,1552444,1,0, 168cm, 67kg,BLACK/WHITE,['여름 코디시 이너로 활용하기 좋아보여서 샀어요~'],https://image.msscdn.net/data/estimate/1552444_0/gallery_6146fb70c5a1e.jpg.view,1,2,2,2,3,0,0,0,0
주영발,2021.11.05,1552444,1,0, 175cm, 80kg,BLACK/WHITE,['폴리? 제질이라서 빨래하고 막 입어도 안늘어나고 아주 좋어요'],,0,2,2,2,2,0,0,0,0
바람계곡의레논,2021.07.12,1552444,1,0, 168cm, 67kg,BLACK/WHITE,"['다행히 제게 길지도 짧지도 않고 핏은 딱 맞습니다', <br/>, '대신 약간 퀄리티가 투박하긴 한데...가격이 저렴해서 괜춘']",,0,2,2,2,3,0,0,0,0
kink20,2021.05.21,1552444,1,0, 178cm, 64kg,WHITE/BLACK,"['이너로 입으려고 샀는데', <br/>, '두께가 좀 있는거네요', <br/>, '이거만 입으면 그냥 해변에 놀러가서서뿐일듯']",,0,2,2,2,1,0,0,0,0
Addsaaa,2020.12.15,1552444,1,0, 170cm, 64kg,BLACK/WHITE,['좀 큽니다! 운동 할때 입으려고 삿는데 재질이나 두께감은 좋습니다 굿굿'],,0,1,2,2,2,0,0,0,0
수봉탕,2022.03.11,2336064,1,0, 175cm, 62kg,블랙/L오트밀그레이/L,"['일단 배송도 빠르게 왔어요', <br/>, '두개다 싸이즈 잘맞고요 ', <br/>, '두께도 적당합니다 ', <br/>, '제질도 만족합니다 ', <br/>, '핏도 예쁘네요 ㅎㅎ']",,0,2,2,1,2,0,0,0,0
뉴비_3b4b930e4cdf,2022.03.09,2336064,1,0, 183cm, 77kg,블랙/XL오트밀그레이/XL,['아주 이쁘군요 잘입도록 하겠습니다 감사합니다'],,0,2,2,1,2,0,0,0,0
kbcs_,2022.02.23,2336064,1,0, 179cm, 74kg,네이비/XL오트밀그레이/XL,['저랑 비슷한 체형은 L사이즈로 가시는 걸 추천할게요 살짝 넉넉하게 나와서 정사이즈로 가시면 이쁘게 입으실 수 있어요 재질도 좋고 디자인도 예뻐서 자주 입을 거 같아요'],,0,1,2,1,2,0,0,0,0
싴비릏,2022.02.11,2336064,1,0, 171cm, 65kg,오트밀그레이/L네이비/L,"['길이도 적당하고 옷 색깔이 너무 예쁘네요', <br/>, '목 부분이 살짝 널널해서 반팔 레이어드할때 살짝 비치는것만 말고는 좋아요~']",,0,2,2,2,2,0,0,0,0
고도권도,2020.05.12,1008803,1,0, 181cm, 73kg,XL,['세일할 때 사서 싸게 샀습니다 오버핏 두께감 없는 그냥 면티입니다'],https://image.msscdn.net/data/estimate/1008803_0/gallery_5eba5e1701c96.jpg.view,1,2,1,2,2,0,0,0,0
공갈빵2,2022.02.17,2168286,1,0, 175cm, 80kg,100,"['원단이 굉장히 좋아보이고 엠보싱느낌또한 듭니다.', <br/>, '빛 비치면 광택도 돌아서 고급진 느낌이네요!']",https://image.msscdn.net/data/estimate/2168286_0/gallery_620ca3306cf85.jpg.view,1,2,1,1,2,0,0,0,0
공갈빵2,2022.02.17,2168286,1,0, 175cm, 80kg,100,"['원단 광택도 돌고 고급지니 좋습니다!', <br/>, '네오프랜느낌의 스판성도 있어보이는데 주름지지는 않네요. 좋습니다!']",,0,2,1,1,2,0,0,0,0
뉴비_8c36690b,2022.03.16,2339898,0,1, 179cm, 60kg,XL,"['아들이 좋아하네요.', <br/>, '맘에 드나봐여. 잘산듯해요. 굿이네요']",,0,1,1,1,2,0,0,0,0
저어정정,2022.03.10,2339898,0,1, 172cm, 68kg,L,"['배송늦은거빼면 만족입니다!', <br/>, <br/>, '빨1아도 시보리 쫀쫀해욥']",,0,2,2,2,2,0,0,0,0
탭탭니,2022.02.10,2339898,1,0, 179cm, 72kg,XL,['옷이 이쁘고요 사이즈가 조금 크긴 한데 그래두 잘 입을수 있을거 같아요!'],,0,1,2,1,2,0,0,0,0
하나둘셋무야호,2020.05.10,967447,1,0, 176cm, 65kg,와인/XL,['약간 버건디 느낌을 기대하고 샀는데 말그대로 와인색이네요 나름대로 이뻐서 괜찮은듯합니다'],https://image.msscdn.net/data/estimate/967447_0/gallery_5eb7a6d74efaa.jpg.view,1,2,2,2,2,0,0,0,0
아닙니당,2022.03.09,967447,1,0, 178cm, 78kg,와인/L,['이너로 최고인 샤카 벌써 4벌째 구입함 좋아요 굿'],,0,2,2,2,2,0,0,0,0
실버_af6ff68b4d16,2021.07.13,967447,1,0, 180cm, 83kg,와인/2XL,['색깔도 이쁘고 재질도 좋은거 같네요 덕분에 다른색도 구매할라고합니다'],,0,2,2,2,2,0,0,0,0
뉴비_eab88aeb,2021.06.29,967447,1,0, 175cm, 60kg,와인/M,['좋아요 옷 진짜 두껍고 핏더사이즈 형님이 알려줘서 샀는데 목 진짜 짱짱해요 안늘어날듯..'],,0,2,2,2,2,0,0,0,0
뉴비_18648cec,2021.05.05,967447,1,0, 176cm, 73kg,와인/L,['약간 목이 조이는느낌이긴하지만 매우 질긴 느낌 좋아요'],,0,2,2,2,2,0,0,0,0
타케칸83,2021.04.17,967447,1,0, 182cm, 77kg,와인/2XL,['디플리크 와인 사다가 이제품 추천을 보고 구매했는데 와인은 xl 가 없어서 2xl 샀는데 기장이 엄청 큽니다 디플리크 L기준  XL이 맞을거수같메요 옷은 디플리크보다 싸고 좋은것 같습니다'],,0,1,2,2,2,0,0,0,0
뉴비_e1517667,2021.04.11,967447,1,0, 178cm, 77kg,와인/L,['이너로 입어도 좋고 이 반팔티만 입어도 이쁠 것 같아요~~'],,0,1,2,2,2,0,0,0,0
뉴비_b4467e7f,2021.03.07,967447,1,0, 180cm, 85kg,와인/2XL,['진짜 옷큽니다 . 이너용으로 입기좋고 밖에입기 너무큼'],,0,1,2,2,2,0,0,0,0
사나이세희,2021.02.18,967447,1,0, 181cm, 67kg,와인/2XL,['박시하게 잘 맞았습니다! 역시 샤카웨어만의 핏감이랑 내구성입니다~~!! 고딩때부터 약 10년간 애용중인 브랜드입니다!!'],,0,1,2,1,1,0,0,0,0
항문골,2020.11.29,967447,1,0, 178cm, 72kg,와인/L,['소재가 부드러운 소재는 아닙니다만 그만큼 두텁고 짱짱하고 목 덜늘어나고 어깨 핏 매우 예쁩니다 대신 기장은 생각보다 긴데? 보다 좀 더 길거에요 맘에 안들면 조금만 수선하세요 수선해도 레이어드하기엔 충분하다고 생각. 샤캬웨어 와인컬러는 무모한 도전이긴 했구나 싶은데 어차피 이너의이너로는 아주 굿이라 하하'],,0,1,2,2,1,0,0,0,0
kuro444,2020.08.18,967447,1,0, 183cm, 65kg,와인/L,['샤카웨어는 엑라가 딱 좋던데 품절이라 라지해서 그런지 붙는 느낌이 있어서 아쉽네요 넥라인이 조금 답답한 느낌 있습니다'],,0,2,2,1,1,0,0,0,0
따싸,2021.06.13,575461,0,1, 160cm, 50kg,FREE,"['완전 좋아요 소매가 나풀거려서 조금 불편하긴 한데', <br/>, '넘넘 이쁨 색상도 네이비체고 봄가을에입기 봏아요']",https://image.msscdn.net/data/estimate/575461_0/gallery_60c57cdf27c0a.jpg.view,1,2,2,2,2,0,0,0,0
S2anghee,2021.11.27,575461,0,1, 168cm, 55kg,FREE,['몇달전부터 눈여겨 보다가 요즘 날씨엔 못입을것 같지만 품절되기전에 미리 샀어요 내년에 예쁘게 입을수 있길 바랍니다.'],,0,2,2,2,2,0,0,0,0
뉴비_451fe685,2021.10.11,575461,0,1, 160cm, 50kg,FREE,['너무 이쁜데 목이 좀 파였고 소매가 화려해요 좋아요'],,0,2,2,2,2,0,0,0,0
따싸,2021.06.13,575461,0,1, 160cm, 50kg,FREE,['이뻐요 고민 노노 꼭 사세요 하늘하늘하구 이뻐용 시원하구'],,0,2,2,2,2,0,0,0,0
